GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      29 2017  8 21  0  2 16 112  4.8462    177.31094    898.24489    811.52100     -8.89383      8.57019     -3.33835     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13169   0.20273  -1.00000
      30 2017  8 21  0  2 20 961  4.8489    177.28935    898.06370    811.48036     -9.17084      8.88791     -3.45178     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13134   0.20273  -1.00000
      31 2017  8 21  0  2 25 813  4.8519    177.26332    897.88531    811.44383     -9.98390      9.67226     -3.56335     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13099   0.20273  -1.00000
      32 2017  8 21  0  2 30 668  4.8550    177.24538    897.70891    811.41168    -10.38355     10.25134     -3.67198     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13064   0.20273  -1.00000
      33 2017  8 21  0  2 35 525  4.8576    177.24049    897.53415    811.38394    -11.47108     10.85077     -3.77496     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13028   0.20273  -1.00000
      34 2017  8 21  0  2 40 385  4.8600    177.23842    897.36036    811.36096    -11.93445     11.65325     -3.87488     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12993   0.20273  -1.00000
      35 2017  8 21  0  2 45 248  4.8626    177.23469    897.18695    811.34294    -12.31294     12.13009     -3.96887     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12958   0.20273  -1.00000
      36 2017  8 21  0  2 50 113  4.8654    177.23054    897.01355    811.33009    -13.11163     12.97668     -4.05752     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12922   0.20272  -1.00000
      37 2017  8 21  0  2 54 981  4.8681    177.23026    896.83985    811.32287    -13.66749     13.81430     -4.14401     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12887   0.20272  -1.00000
      38 2017  8 21  0  2 59 852  4.8701    177.23745    896.66534    811.32190    -15.01863     14.28648     -4.22082     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12851   0.20272  -1.00000
      39 2017  8 21  0  3  4 723  4.8715    177.24833    896.49038    811.32786    -15.54610     15.40523     -4.29112     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12816   0.20272  -1.00000
      40 2017  8 21  0  3  9 596  4.8725    177.25992    896.31522    811.34134    -15.68057     16.16345     -4.35456     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12780   0.20272  -1.00000
