EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
5.62562e+00 5.00000e+00 6.49312e+00 8.49257e+00 2.18861e-01 3.78826e-01
5.64321e+00 5.00000e+00 6.96965e+00 8.78862e+00 2.62652e-01 3.76851e-01
5.66080e+00 5.00000e+00 7.61921e+00 9.05525e+00 3.14180e-01 3.78229e-01
5.67839e+00 5.00000e+00 8.47121e+00 9.27959e+00 3.71601e-01 3.83211e-01
5.69598e+00 5.00000e+00 9.57060e+00 9.44678e+00 4.30960e-01 3.92271e-01
5.71356e+00 5.00000e+00 1.09779e+01 9.54230e+00 4.86160e-01 4.06074e-01
5.73115e+00 5.00000e+00 1.27404e+01 9.56816e+00 5.33278e-01 4.24944e-01
5.74874e+00 5.00000e+00 1.48867e+01 9.53424e+00 5.70293e-01 4.49122e-01
5.76633e+00 5.00000e+00 1.74320e+01 9.44982e+00 5.95733e-01 4.79111e-01
5.78391e+00 5.00000e+00 2.03613e+01 9.32329e+00 6.08605e-01 5.15694e-01
5.80150e+00 5.00000e+00 2.36171e+01 9.16180e+00 6.08393e-01 5.60078e-01
5.81909e+00 5.00000e+00 2.71041e+01 8.97860e+00 5.95388e-01 6.13292e-01
5.83668e+00 5.00000e+00 3.07857e+01 8.80674e+00 5.71451e-01 6.74718e-01
5.85427e+00 5.00000e+00 3.46331e+01 8.68114e+00 5.38794e-01 7.42842e-01
5.87185e+00 5.00000e+00 3.86041e+01 8.63649e+00 4.99588e-01 8.15192e-01
5.88944e+00 5.00000e+00 4.26479e+01 8.71084e+00 4.55771e-01 8.88197e-01
5.90703e+00 5.00000e+00 4.66885e+01 8.95064e+00 4.09165e-01 9.56750e-01
5.92462e+00 5.00000e+00 5.06284e+01 9.38160e+00 3.62545e-01 1.01653e+00
5.94221e+00 5.00000e+00 5.43432e+01 9.99567e+00 3.19265e-01 1.06545e+00
5.95979e+00 5.00000e+00 5.76778e+01 1.07892e+01 2.81420e-01 1.10155e+00
5.97738e+00 5.00000e+00 6.04532e+01 1.17643e+01 2.50024e-01 1.12287e+00
5.99497e+00 5.00000e+00 6.24595e+01 1.29238e+01 2.25546e-01 1.12742e+00
6.01256e+00 5.00000e+00 6.34863e+01 1.42688e+01 2.08053e-01 1.11402e+00
6.03015e+00 5.00000e+00 6.34567e+01 1.57848e+01 1.96316e-01 1.08737e+00
6.04773e+00 5.00000e+00 6.23871e+01 1.74361e+01 1.88899e-01 1.05509e+00
6.06532e+00 5.00000e+00 6.03123e+01 1.91680e+01 1.84866e-01 1.02395e+00
6.08291e+00 5.00000e+00 5.72883e+01 2.08946e+01 1.83641e-01 1.00007e+00
6.10050e+00 5.00000e+00 5.33941e+01 2.24986e+01 1.84874e-01 9.89234e-01
6.11809e+00 5.00000e+00 4.87395e+01 2.38532e+01 1.88577e-01 9.95405e-01
6.13567e+00 5.00000e+00 4.34808e+01 2.49029e+01 1.95623e-01 1.01510e+00
6.15326e+00 5.00000e+00 3.77954e+01 2.56159e+01 2.07437e-01 1.04363e+00
6.17085e+00 5.00000e+00 3.18960e+01 2.59617e+01 2.26142e-01 1.07628e+00
6.18844e+00 5.00000e+00 2.60131e+01 2.59145e+01 2.55136e-01 1.10789e+00
6.20602e+00 5.00000e+00 2.03934e+01 2.54540e+01 3.00096e-01 1.13268e+00
6.22361e+00 5.00000e+00 1.53982e+01 2.45521e+01 3.67111e-01 1.14634e+00
6.24120e+00 5.00000e+00 1.13642e+01 2.31746e+01 4.58440e-01 1.14737e+00
6.25879e+00 5.00000e+00 8.32174e+00 2.13144e+01 5.73198e-01 1.13457e+00
6.27638e+00 5.00000e+00 6.13650e+00 1.90048e+01 7.03834e-01 1.10684e+00
6.29397e+00 5.00000e+00 4.62564e+00 1.63292e+01 8.32035e-01 1.06333e+00
6.31155e+00 5.00000e+00 3.61622e+00 1.34364e+01 9.28649e-01 1.00391e+00
6.32914e+00 5.00000e+00 2.92947e+00 1.06152e+01 9.76990e-01 9.31570e-01
6.34673e+00 5.00000e+00 2.43469e+00 8.12091e+00 9.77815e-01 8.50907e-01
6.36432e+00 5.00000e+00 2.05629e+00 6.06181e+00 9.38458e-01 7.65850e-01
6.38190e+00 5.00000e+00 1.74917e+00 4.44574e+00 8.69528e-01 6.79633e-01
6.39949e+00 5.00000e+00 1.48521e+00 3.22248e+00 7.82074e-01 5.94667e-01
6.41708e+00 5.00000e+00 1.24968e+00 2.32364e+00 6.86218e-01 5.13277e-01
6.43467e+00 5.00000e+00 1.04090e+00 1.68047e+00 5.90539e-01 4.38419e-01
6.45226e+00 5.00000e+00 8.58635e-01 1.22970e+00 5.00965e-01 3.71968e-01
6.46984e+00 5.00000e+00 7.01623e-01 9.19008e-01 4.20910e-01 3.14606e-01
6.48743e+00 5.00000e+00 5.67704e-01 7.08130e-01 3.51708e-01 2.66118e-01
6.50502e+00 5.00000e+00 4.54701e-01 5.68713e-01 2.93512e-01 2.25917e-01
6.52261e+00 5.00000e+00 3.61435e-01 4.78101e-01 2.45296e-01 1.92884e-01
6.54020e+00 5.00000e+00 2.87469e-01 4.17427e-01 2.05349e-01 1.65583e-01
6.55778e+00 5.00000e+00 2.30825e-01 3.75491e-01 1.72231e-01 1.42890e-01
6.57537e+00 5.00000e+00 1.88771e-01 3.45480e-01 1.44712e-01 1.23908e-01
6.59296e+00 5.00000e+00 1.58784e-01 3.23062e-01 1.21844e-01 1.07981e-01
6.61055e+00 5.00000e+00 1.38705e-01 3.05280e-01 1.02827e-01 9.45804e-02
