EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
5.62562e+00 5.00000e+00 1.53713e+00 1.89655e+00 1.92195e-02 3.10224e-02
5.64321e+00 5.00000e+00 1.65237e+00 1.96377e+00 2.29486e-02 3.14690e-02
5.66080e+00 5.00000e+00 1.80919e+00 2.02428e+00 2.73223e-02 3.22413e-02
5.67839e+00 5.00000e+00 2.01463e+00 2.07518e+00 3.21829e-02 3.33586e-02
5.69598e+00 5.00000e+00 2.27937e+00 2.11316e+00 3.71998e-02 3.48611e-02
5.71356e+00 5.00000e+00 2.61774e+00 2.13496e+00 4.18672e-02 3.68060e-02
5.73115e+00 5.00000e+00 3.04110e+00 2.14104e+00 4.58611e-02 3.92195e-02
5.74874e+00 5.00000e+00 3.55631e+00 2.13360e+00 4.90129e-02 4.21102e-02
5.76633e+00 5.00000e+00 4.16701e+00 2.11472e+00 5.11964e-02 4.54968e-02
5.78391e+00 5.00000e+00 4.86956e+00 2.08629e+00 5.23229e-02 4.94035e-02
5.80150e+00 5.00000e+00 5.65007e+00 2.04991e+00 5.23411e-02 5.38663e-02
5.81909e+00 5.00000e+00 6.48552e+00 2.00856e+00 5.12716e-02 5.88988e-02
5.83668e+00 5.00000e+00 7.36696e+00 1.96971e+00 4.92805e-02 6.44430e-02
5.85427e+00 5.00000e+00 8.28735e+00 1.94128e+00 4.65639e-02 7.03869e-02
5.87185e+00 5.00000e+00 9.23641e+00 1.93108e+00 4.33114e-02 7.65563e-02
5.88944e+00 5.00000e+00 1.02019e+01 1.94770e+00 3.96889e-02 8.27129e-02
5.90703e+00 5.00000e+00 1.11655e+01 2.00165e+00 3.58482e-02 8.85242e-02
5.92462e+00 5.00000e+00 1.21037e+01 2.09871e+00 3.20113e-02 9.36963e-02
5.94221e+00 5.00000e+00 1.29869e+01 2.23706e+00 2.84454e-02 9.80497e-02
5.95979e+00 5.00000e+00 1.37780e+01 2.41583e+00 2.53221e-02 1.01395e-01
5.97738e+00 5.00000e+00 1.44343e+01 2.63547e+00 2.27310e-02 1.03533e-01
5.99497e+00 5.00000e+00 1.49058e+01 2.89648e+00 2.07209e-02 1.04252e-01
6.01256e+00 5.00000e+00 1.51428e+01 3.19898e+00 1.93092e-02 1.03394e-01
6.03015e+00 5.00000e+00 1.51273e+01 3.53950e+00 1.83899e-02 1.01259e-01
6.04773e+00 5.00000e+00 1.48639e+01 3.90981e+00 1.78310e-02 9.83830e-02
6.06532e+00 5.00000e+00 1.43615e+01 4.29728e+00 1.75420e-02 9.52499e-02
6.08291e+00 5.00000e+00 1.36340e+01 4.68224e+00 1.74594e-02 9.22878e-02
6.10050e+00 5.00000e+00 1.27006e+01 5.03783e+00 1.75354e-02 8.98758e-02
6.11809e+00 5.00000e+00 1.15879e+01 5.33529e+00 1.77569e-02 8.82599e-02
6.13567e+00 5.00000e+00 1.03328e+01 5.56236e+00 1.82122e-02 8.72993e-02
6.15326e+00 5.00000e+00 8.97750e+00 5.71235e+00 1.90369e-02 8.67992e-02
6.17085e+00 5.00000e+00 7.57242e+00 5.77903e+00 2.04173e-02 8.65943e-02
6.18844e+00 5.00000e+00 6.17229e+00 5.75734e+00 2.26387e-02 8.65331e-02
6.20602e+00 5.00000e+00 4.83571e+00 5.64353e+00 2.61672e-02 8.64707e-02
6.22361e+00 5.00000e+00 3.64853e+00 5.43208e+00 3.14751e-02 8.62369e-02
6.24120e+00 5.00000e+00 2.69048e+00 5.11607e+00 3.86875e-02 8.56211e-02
6.25879e+00 5.00000e+00 1.96848e+00 4.69465e+00 4.76808e-02 8.44076e-02
6.27638e+00 5.00000e+00 1.45027e+00 4.17594e+00 5.78231e-02 8.23850e-02
6.29397e+00 5.00000e+00 1.09222e+00 3.57898e+00 6.76771e-02 7.93599e-02
6.31155e+00 5.00000e+00 8.53114e-01 2.93711e+00 7.50124e-02 7.51996e-02
6.32914e+00 5.00000e+00 6.90518e-01 2.31399e+00 7.85858e-02 7.00548e-02
6.34673e+00 5.00000e+00 5.73451e-01 1.76530e+00 7.84762e-02 6.42348e-02
6.36432e+00 5.00000e+00 4.84011e-01 1.31404e+00 7.52417e-02 5.80108e-02
6.38190e+00 5.00000e+00 4.11517e-01 9.61144e-01 6.96826e-02 5.16146e-02
6.39949e+00 5.00000e+00 3.49312e-01 6.94942e-01 6.26360e-02 4.52265e-02
6.41708e+00 5.00000e+00 2.93896e-01 4.99980e-01 5.48886e-02 3.90349e-02
6.43467e+00 5.00000e+00 2.44816e-01 3.60901e-01 4.71474e-02 3.32992e-02
6.45226e+00 5.00000e+00 2.01974e-01 2.63706e-01 3.99081e-02 2.81904e-02
6.46984e+00 5.00000e+00 1.65052e-01 1.96901e-01 3.34537e-02 2.37772e-02
6.48743e+00 5.00000e+00 1.33537e-01 1.51685e-01 2.78931e-02 2.00511e-02
6.50502e+00 5.00000e+00 1.06919e-01 1.21896e-01 2.32361e-02 1.69700e-02
6.52261e+00 5.00000e+00 8.49341e-02 1.02624e-01 1.93941e-02 1.44470e-02
6.54020e+00 5.00000e+00 6.74971e-02 8.97872e-02 1.62224e-02 1.23686e-02
6.55778e+00 5.00000e+00 5.41493e-02 8.09670e-02 1.36004e-02 1.06463e-02
6.57537e+00 5.00000e+00 4.42474e-02 7.46930e-02 1.14268e-02 9.21006e-03
6.59296e+00 5.00000e+00 3.71943e-02 7.00280e-02 9.62375e-03 8.00830e-03
6.61055e+00 5.00000e+00 3.24794e-02 6.63286e-02 8.12653e-03 6.99991e-03
6.62814e+00 5.00000e+00 2.93996e-02 6.33081e-02 6.88047e-03 6.15225e-03
6.64572e+00 5.00000e+00 2.72801e-02 6.08948e-02 5.84090e-03 5.43965e-03
6.66331e+00 5.00000e+00 2.56718e-02 5.90473e-02 4.97049e-03 4.84061e-03
6.68090e+00 5.00000e+00 2.42524e-02 5.77554e-02 4.24073e-03 4.33905e-03
6.69849e+00 5.00000e+00 2.27697e-02 5.70347e-02 3.62797e-03 3.92191e-03
6.71608e+00 5.00000e+00 2.10751e-02 5.68794e-02 3.11258e-03 3.57754e-03
6.73366e+00 5.00000e+00 1.92924e-02 5.70475e-02 2.67743e-03 3.29043e-03
6.75125e+00 5.00000e+00 1.75800e-02 5.72270e-02 2.30791e-03 3.04687e-03
6.76884e+00 5.00000e+00 1.60502e-02 5.71035e-02 1.99306e-03 2.83720e-03
6.78643e+00 5.00000e+00 1.47774e-02 5.63596e-02 1.72389e-03 2.65412e-03
6.80401e+00 5.00000e+00 1.38135e-02 5.46929e-02 1.49326e-03 2.49217e-03
6.82160e+00 5.00000e+00 1.31585e-02 5.20204e-02 1.29480e-03 2.34654e-03
6.83919e+00 5.00000e+00 1.27390e-02 4.86489e-02 1.12344e-03 2.21290e-03
6.85678e+00 5.00000e+00 1.24949e-02 4.48892e-02 9.74924e-04 2.08765e-03
6.87437e+00 5.00000e+00 1.23830e-02 4.09934e-02 8.45787e-04 1.96790e-03
6.89195e+00 5.00000e+00 1.23702e-02 3.71541e-02 7.33246e-04 1.85133e-03
6.90954e+00 5.00000e+00 1.24294e-02 3.35100e-02 6.34889e-04 1.73595e-03
6.92713e+00 5.00000e+00 1.25324e-02 3.03009e-02 5.50034e-04 1.62176e-03
6.94472e+00 5.00000e+00 1.26483e-02 2.77949e-02 4.78539e-04 1.50989e-03
6.96231e+00 5.00000e+00 1.27453e-02 2.61866e-02 4.19714e-04 1.40114e-03
6.97989e+00 5.00000e+00 1.27903e-02 2.56761e-02 3.72661e-04 1.29613e-03
6.99748e+00 5.00000e+00 1.27483e-02 2.65811e-02 3.36426e-04 1.19507e-03
7.01507e+00 5.00000e+00 1.25908e-02 2.94080e-02 3.10083e-04 1.09856e-03
7.03266e+00 5.00000e+00 1.23337e-02 3.43897e-02 2.91486e-04 1.00905e-03
7.05025e+00 5.00000e+00 1.20074e-02 4.17136e-02 2.78708e-04 9.28899e-04
7.06783e+00 5.00000e+00 1.16393e-02 5.15531e-02 2.70490e-04 8.59694e-04
7.08542e+00 5.00000e+00 1.12526e-02 6.38294e-02 2.65999e-04 8.02440e-04
7.10301e+00 5.00000e+00 1.08677e-02 7.78227e-02 2.64723e-04 7.58081e-04
7.12060e+00 5.00000e+00 1.04987e-02 9.23231e-02 2.66120e-04 7.26091e-04
7.13819e+00 5.00000e+00 1.01498e-02 1.06645e-01 2.69188e-04 7.02854e-04
7.15577e+00 5.00000e+00 9.82394e-03 1.20169e-01 2.72881e-04 6.85129e-04
7.17336e+00 5.00000e+00 9.52354e-03 1.32254e-01 2.76134e-04 6.70229e-04
7.19095e+00 5.00000e+00 9.25155e-03 1.42209e-01 2.77810e-04 6.55839e-04
7.20854e+00 5.00000e+00 9.01077e-03 1.49364e-01 2.76754e-04 6.39889e-04
7.22613e+00 5.00000e+00 8.79873e-03 1.53507e-01 2.72733e-04 6.21729e-04
7.24371e+00 5.00000e+00 8.60820e-03 1.54977e-01 2.66465e-04 6.02021e-04
7.26130e+00 5.00000e+00 8.43252e-03 1.54234e-01 2.58646e-04 5.81345e-04
7.27889e+00 5.00000e+00 8.26624e-03 1.51766e-01 2.49898e-04 5.60212e-04
7.29648e+00 5.00000e+00 8.10441e-03 1.48054e-01 2.40755e-04 5.39034e-04
7.31407e+00 5.00000e+00 7.94299e-03 1.43520e-01 2.31642e-04 5.18135e-04
7.33165e+00 5.00000e+00 7.78196e-03 1.38436e-01 2.22743e-04 4.97691e-04
