EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.50000e+00 5.00000e+00 7.55743e-08 5.25134e-07 3.51340e-06 4.12791e-05
4.51758e+00 5.00000e+00 1.35203e-07 9.32525e-07 5.02299e-06 7.39412e-05
4.53517e+00 5.00000e+00 2.45329e-07 1.66089e-06 6.87392e-06 1.34722e-04
4.55276e+00 5.00000e+00 4.50521e-07 2.96583e-06 9.10746e-06 2.46954e-04
4.57035e+00 5.00000e+00 8.36077e-07 5.30995e-06 1.18072e-05 4.50683e-04
4.58793e+00 5.00000e+00 1.56562e-06 9.52961e-06 1.51251e-05 8.09940e-04
4.60552e+00 5.00000e+00 2.95772e-06 1.71577e-05 1.93336e-05 1.41865e-03
4.62311e+00 5.00000e+00 5.62309e-06 3.09470e-05 2.48242e-05 2.40746e-03
4.64070e+00 5.00000e+00 1.07095e-05 5.57300e-05 3.20999e-05 3.97197e-03
4.65829e+00 5.00000e+00 2.03378e-05 9.98383e-05 4.19020e-05 6.39363e-03
4.67587e+00 5.00000e+00 3.83125e-05 1.77198e-04 5.53561e-05 1.00663e-02
4.69346e+00 5.00000e+00 7.12875e-05 3.10524e-04 7.42613e-05 1.55420e-02
4.71105e+00 5.00000e+00 1.30287e-04 5.34816e-04 1.01463e-04 2.35603e-02
4.72864e+00 5.00000e+00 2.33203e-04 9.03153e-04 1.40912e-04 3.51049e-02
4.74623e+00 5.00000e+00 4.08171e-04 1.49363e-03 1.97825e-04 5.14479e-02
4.76381e+00 5.00000e+00 6.96857e-04 2.41404e-03 2.79215e-04 7.41599e-02
4.78140e+00 5.00000e+00 1.15776e-03 3.80546e-03 3.94348e-04 1.05150e-01
4.79899e+00 5.00000e+00 1.86413e-03 5.83003e-03 5.54382e-04 1.46496e-01
4.81658e+00 5.00000e+00 2.89748e-03 8.65039e-03 7.72313e-04 2.00258e-01
4.83417e+00 5.00000e+00 4.34380e-03 1.24174e-02 1.06492e-03 2.67955e-01
4.85175e+00 5.00000e+00 6.27482e-03 1.72231e-02 1.45250e-03 3.49794e-01
