EUVI-B filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.85175e+00 5.00000e+00 7.19845e-03 2.32864e-02 8.11934e-03 1.95519e+00
4.86934e+00 5.00000e+00 1.00144e-02 3.08481e-02 1.05313e-02 2.48173e+00
4.88693e+00 5.00000e+00 1.33561e-02 3.92473e-02 1.34507e-02 3.04743e+00
4.90452e+00 5.00000e+00 1.70067e-02 4.77566e-02 1.68752e-02 3.59902e+00
4.92211e+00 5.00000e+00 2.06700e-02 5.56065e-02 2.07933e-02 4.07763e+00
4.93969e+00 5.00000e+00 2.41800e-02 6.26233e-02 2.52787e-02 4.45318e+00
4.95728e+00 5.00000e+00 2.74577e-02 6.89782e-02 3.04753e-02 4.71003e+00
4.97487e+00 5.00000e+00 3.04888e-02 7.50778e-02 3.65977e-02 4.84192e+00
4.99246e+00 5.00000e+00 3.33277e-02 8.15577e-02 4.39761e-02 4.85115e+00
5.01005e+00 5.00000e+00 3.60874e-02 8.92738e-02 5.30986e-02 4.74694e+00
5.02763e+00 5.00000e+00 3.89172e-02 9.88358e-02 6.44192e-02 4.55359e+00
5.04522e+00 5.00000e+00 4.20093e-02 1.10596e-01 7.82741e-02 4.30378e+00
5.06281e+00 5.00000e+00 4.56149e-02 1.24997e-01 9.49123e-02 4.02661e+00
5.08040e+00 5.00000e+00 5.00794e-02 1.42646e-01 1.14440e-01 3.74556e+00
5.09799e+00 5.00000e+00 5.58967e-02 1.64367e-01 1.36699e-01 3.47854e+00
5.11557e+00 5.00000e+00 6.37348e-02 1.91174e-01 1.61190e-01 3.23727e+00
5.13316e+00 5.00000e+00 7.41951e-02 2.23849e-01 1.87551e-01 3.02143e+00
5.15075e+00 5.00000e+00 8.79732e-02 2.62899e-01 2.15336e-01 2.82824e+00
5.16834e+00 5.00000e+00 1.06059e-01 3.08606e-01 2.43894e-01 2.65540e+00
5.18592e+00 5.00000e+00 1.29833e-01 3.60765e-01 2.72293e-01 2.50120e+00
5.20351e+00 5.00000e+00 1.61301e-01 4.18548e-01 2.99350e-01 2.36407e+00
5.22110e+00 5.00000e+00 2.03007e-01 4.80879e-01 3.23862e-01 2.24228e+00
5.23869e+00 5.00000e+00 2.57662e-01 5.48112e-01 3.45283e-01 2.13265e+00
5.25628e+00 5.00000e+00 3.28268e-01 6.21085e-01 3.63220e-01 2.03246e+00
5.27386e+00 5.00000e+00 4.17840e-01 7.00939e-01 3.77308e-01 1.93959e+00
5.29145e+00 5.00000e+00 5.29089e-01 7.89387e-01 3.87229e-01 1.85216e+00
5.30904e+00 5.00000e+00 6.63316e-01 8.88517e-01 3.92661e-01 1.76876e+00
5.32663e+00 5.00000e+00 8.21563e-01 9.99763e-01 3.93595e-01 1.68817e+00
5.34422e+00 5.00000e+00 1.00538e+00 1.12324e+00 3.90318e-01 1.60942e+00
5.36180e+00 5.00000e+00 1.21528e+00 1.25835e+00 3.83138e-01 1.53169e+00
5.37939e+00 5.00000e+00 1.45053e+00 1.40395e+00 3.72338e-01 1.45412e+00
5.39698e+00 5.00000e+00 1.70778e+00 1.55755e+00 3.58195e-01 1.37608e+00
5.41457e+00 5.00000e+00 1.98082e+00 1.71563e+00 3.41102e-01 1.29731e+00
5.43216e+00 5.00000e+00 2.26118e+00 1.87534e+00 3.22269e-01 1.21965e+00
5.44974e+00 5.00000e+00 2.53730e+00 2.03374e+00 3.03031e-01 1.14537e+00
5.46733e+00 5.00000e+00 2.79430e+00 2.18726e+00 2.84410e-01 1.07606e+00
5.48492e+00 5.00000e+00 3.01313e+00 2.33109e+00 2.67222e-01 1.01305e+00
5.50251e+00 5.00000e+00 3.17199e+00 2.45941e+00 2.52082e-01 9.57306e-01
5.52010e+00 5.00000e+00 3.25955e+00 2.56786e+00 2.39493e-01 9.09177e-01
5.53768e+00 5.00000e+00 3.29718e+00 2.65828e+00 2.29917e-01 8.67842e-01
5.55527e+00 5.00000e+00 3.31423e+00 2.73425e+00 2.23842e-01 8.32495e-01
5.57286e+00 5.00000e+00 3.34105e+00 2.79954e+00 2.21916e-01 8.02652e-01
5.59045e+00 5.00000e+00 3.40947e+00 2.85824e+00 2.25074e-01 7.78018e-01
5.60804e+00 5.00000e+00 3.55551e+00 2.91453e+00 2.34730e-01 7.58503e-01
5.62562e+00 5.00000e+00 3.80160e+00 2.96988e+00 2.51417e-01 7.44479e-01
5.64321e+00 5.00000e+00 4.15355e+00 3.02248e+00 2.74303e-01 7.36785e-01
5.66080e+00 5.00000e+00 4.62239e+00 3.07002e+00 3.02356e-01 7.36588e-01
5.67839e+00 5.00000e+00 5.22610e+00 3.10994e+00 3.34085e-01 7.45482e-01
5.69598e+00 5.00000e+00 5.99012e+00 3.13932e+00 3.67174e-01 7.65731e-01
5.71356e+00 5.00000e+00 6.94645e+00 3.15541e+00 3.98467e-01 8.00249e-01
5.73115e+00 5.00000e+00 8.12272e+00 3.15935e+00 4.26072e-01 8.50358e-01
5.74874e+00 5.00000e+00 9.53632e+00 3.15407e+00 4.48836e-01 9.16908e-01
5.76633e+00 5.00000e+00 1.11948e+01 3.14230e+00 4.65561e-01 1.00165e+00
5.78391e+00 5.00000e+00 1.30853e+01 3.12661e+00 4.75019e-01 1.10723e+00
5.80150e+00 5.00000e+00 1.51678e+01 3.10939e+00 4.76039e-01 1.23766e+00
5.81909e+00 5.00000e+00 1.73778e+01 3.09358e+00 4.68382e-01 1.39669e+00
5.83668e+00 5.00000e+00 1.96872e+01 3.08410e+00 4.54429e-01 1.58370e+00
5.85427e+00 5.00000e+00 2.20728e+01 3.08639e+00 4.36891e-01 1.79487e+00
5.87185e+00 5.00000e+00 2.45030e+01 3.10636e+00 4.18162e-01 2.02235e+00
5.88944e+00 5.00000e+00 2.69409e+01 3.15093e+00 4.00229e-01 2.25337e+00
5.90703e+00 5.00000e+00 2.93344e+01 3.22851e+00 3.84767e-01 2.46856e+00
5.92462e+00 5.00000e+00 3.16212e+01 3.34472e+00 3.72259e-01 2.65073e+00
5.94221e+00 5.00000e+00 3.37276e+01 3.50077e+00 3.61974e-01 2.79131e+00
5.95979e+00 5.00000e+00 3.55647e+01 3.69937e+00 3.53259e-01 2.88293e+00
5.97738e+00 5.00000e+00 3.70325e+01 3.94579e+00 3.45560e-01 2.91923e+00
5.99497e+00 5.00000e+00 3.80162e+01 4.24769e+00 3.38415e-01 2.89496e+00
6.01256e+00 5.00000e+00 3.84043e+01 4.61556e+00 3.31472e-01 2.80866e+00
6.03015e+00 5.00000e+00 3.81656e+01 5.05637e+00 3.25024e-01 2.67826e+00
6.04773e+00 5.00000e+00 3.73233e+01 5.57437e+00 3.19703e-01 2.52972e+00
6.06532e+00 5.00000e+00 3.59094e+01 6.17514e+00 3.16130e-01 2.38438e+00
6.08291e+00 5.00000e+00 3.39669e+01 6.86336e+00 3.14978e-01 2.25938e+00
6.10050e+00 5.00000e+00 3.15494e+01 7.64324e+00 3.17029e-01 2.16872e+00
6.11809e+00 5.00000e+00 2.87241e+01 8.51510e+00 3.23427e-01 2.12022e+00
6.13567e+00 5.00000e+00 2.55771e+01 9.46541e+00 3.36296e-01 2.10425e+00
6.15326e+00 5.00000e+00 2.22053e+01 1.04699e+01 3.58764e-01 2.10961e+00
6.17085e+00 5.00000e+00 1.87266e+01 1.14884e+01 3.95577e-01 2.12660e+00
6.18844e+00 5.00000e+00 1.52696e+01 1.24649e+01 4.54606e-01 2.14591e+00
6.20602e+00 5.00000e+00 1.19736e+01 1.33243e+01 5.49623e-01 2.15805e+00
6.22361e+00 5.00000e+00 9.04571e+00 1.39798e+01 6.97228e-01 2.15594e+00
6.24120e+00 5.00000e+00 6.68023e+00 1.43372e+01 9.07447e-01 2.13640e+00
6.25879e+00 5.00000e+00 4.89442e+00 1.43044e+01 1.18383e+00 2.09659e+00
6.27638e+00 5.00000e+00 3.60991e+00 1.38066e+01 1.51249e+00 2.03378e+00
6.29397e+00 5.00000e+00 2.72013e+00 1.28066e+01 1.84787e+00 1.94571e+00
6.31155e+00 5.00000e+00 2.12410e+00 1.13360e+01 2.10911e+00 1.83148e+00
6.32914e+00 5.00000e+00 1.71752e+00 9.58129e+00 2.24660e+00 1.69633e+00
6.34673e+00 5.00000e+00 1.42416e+00 7.77508e+00 2.26154e+00 1.54864e+00
6.36432e+00 5.00000e+00 1.19985e+00 6.08368e+00 2.17566e+00 1.39535e+00
6.38190e+00 5.00000e+00 1.01820e+00 4.60513e+00 2.02002e+00 1.24197e+00
6.39949e+00 5.00000e+00 8.62759e-01 3.37844e+00 1.82567e+00 1.09243e+00
6.41708e+00 5.00000e+00 7.24820e-01 2.41026e+00 1.61808e+00 9.50304e-01
6.43467e+00 5.00000e+00 6.03053e-01 1.69164e+00 1.41271e+00 8.19883e-01
6.45226e+00 5.00000e+00 4.97023e-01 1.18395e+00 1.21926e+00 7.03854e-01
6.46984e+00 5.00000e+00 4.05816e-01 8.37661e-01 1.04356e+00 6.03178e-01
6.48743e+00 5.00000e+00 3.28070e-01 6.07203e-01 8.88155e-01 5.17480e-01
6.50502e+00 5.00000e+00 2.62471e-01 4.57611e-01 7.53710e-01 4.45863e-01
6.52261e+00 5.00000e+00 2.08340e-01 3.61201e-01 6.38965e-01 3.86505e-01
6.54020e+00 5.00000e+00 1.65456e-01 2.96852e-01 5.41446e-01 3.36937e-01
6.55778e+00 5.00000e+00 1.32673e-01 2.52496e-01 4.58846e-01 2.95240e-01
6.57537e+00 5.00000e+00 1.08393e-01 2.21112e-01 3.88966e-01 2.59892e-01
6.59296e+00 5.00000e+00 9.11372e-02 1.98546e-01 3.30006e-01 2.29789e-01
6.61055e+00 5.00000e+00 7.96471e-02 1.82186e-01 2.80343e-01 2.04049e-01
6.62814e+00 5.00000e+00 7.21877e-02 1.70206e-01 2.38479e-01 1.81990e-01
6.64572e+00 5.00000e+00 6.70924e-02 1.61285e-01 2.03124e-01 1.63085e-01
6.66331e+00 5.00000e+00 6.32513e-02 1.54481e-01 1.73173e-01 1.46880e-01
6.68090e+00 5.00000e+00 5.98646e-02 1.49106e-01 1.47772e-01 1.33038e-01
6.69849e+00 5.00000e+00 5.63021e-02 1.44620e-01 1.26199e-01 1.21276e-01
6.71608e+00 5.00000e+00 5.21888e-02 1.40585e-01 1.07853e-01 1.11337e-01
6.73366e+00 5.00000e+00 4.78275e-02 1.36654e-01 9.22362e-02 1.02852e-01
6.75125e+00 5.00000e+00 4.36110e-02 1.32527e-01 7.89075e-02 9.54873e-02
6.76884e+00 5.00000e+00 3.98195e-02 1.27935e-01 6.75237e-02 8.90012e-02
6.78643e+00 5.00000e+00 3.66388e-02 1.22634e-01 5.77909e-02 8.32084e-02
6.80401e+00 5.00000e+00 3.41985e-02 1.16423e-01 4.94665e-02 7.79678e-02
6.82160e+00 5.00000e+00 3.24989e-02 1.09291e-01 4.23315e-02 7.31590e-02
6.83919e+00 5.00000e+00 3.13638e-02 1.01562e-01 3.62118e-02 6.86899e-02
6.85678e+00 5.00000e+00 3.06487e-02 9.35352e-02 3.09568e-02 6.44838e-02
6.87437e+00 5.00000e+00 3.02489e-02 8.54458e-02 2.64399e-02 6.04780e-02
6.89195e+00 5.00000e+00 3.00850e-02 7.74762e-02 2.25561e-02 5.66230e-02
6.90954e+00 5.00000e+00 3.00923e-02 6.97669e-02 1.92120e-02 5.28729e-02
6.92713e+00 5.00000e+00 3.02089e-02 6.27703e-02 1.63570e-02 4.92102e-02
6.94472e+00 5.00000e+00 3.03711e-02 5.70453e-02 1.39540e-02 4.56307e-02
6.96231e+00 5.00000e+00 3.05154e-02 5.29653e-02 1.19571e-02 4.21294e-02
6.97989e+00 5.00000e+00 3.05767e-02 5.08520e-02 1.03198e-02 3.87040e-02
6.99748e+00 5.00000e+00 3.04873e-02 5.11487e-02 8.99473e-03 3.53468e-02
7.01507e+00 5.00000e+00 3.01915e-02 5.45002e-02 7.93895e-03 3.20739e-02
7.03266e+00 5.00000e+00 2.97190e-02 6.09970e-02 7.09435e-03 2.89857e-02
7.05025e+00 5.00000e+00 2.91283e-02 7.06314e-02 6.41196e-03 2.61778e-02
7.06783e+00 5.00000e+00 2.84721e-02 8.34272e-02 5.85767e-03 2.37082e-02
7.08542e+00 5.00000e+00 2.77966e-02 9.91918e-02 5.40653e-03 2.16046e-02
7.10301e+00 5.00000e+00 2.71438e-02 1.17141e-01 5.04177e-03 1.98835e-02
7.12060e+00 5.00000e+00 2.65397e-02 1.36072e-01 4.74792e-03 1.85209e-02
7.13819e+00 5.00000e+00 2.59801e-02 1.55270e-01 4.50578e-03 1.74249e-02
7.15577e+00 5.00000e+00 2.54581e-02 1.73945e-01 4.29998e-03 1.65196e-02
7.17336e+00 5.00000e+00 2.49675e-02 1.91128e-01 4.11828e-03 1.57467e-02
7.19095e+00 5.00000e+00 2.45038e-02 2.05614e-01 3.95120e-03 1.50624e-02
7.20854e+00 5.00000e+00 2.40632e-02 2.16094e-01 3.79091e-03 1.44318e-02
7.22613e+00 5.00000e+00 2.36399e-02 2.22063e-01 3.63504e-03 1.38371e-02
7.24371e+00 5.00000e+00 2.32268e-02 2.24052e-01 3.48586e-03 1.32752e-02
7.26130e+00 5.00000e+00 2.28164e-02 2.22788e-01 3.34518e-03 1.27428e-02
7.27889e+00 5.00000e+00 2.24024e-02 2.19047e-01 3.21481e-03 1.22382e-02
7.29648e+00 5.00000e+00 2.19782e-02 2.13581e-01 3.09631e-03 1.17599e-02
7.31407e+00 5.00000e+00 2.15387e-02 2.07050e-01 2.99081e-03 1.13062e-02
7.33165e+00 5.00000e+00 2.10880e-02 1.99830e-01 2.89700e-03 1.08754e-02
7.34924e+00 5.00000e+00 2.06325e-02 1.92139e-01 2.81269e-03 1.04651e-02
7.36683e+00 5.00000e+00 2.01786e-02 1.84165e-01 2.73629e-03 1.00739e-02
7.38442e+00 5.00000e+00 1.97315e-02 1.76059e-01 2.66651e-03 9.70029e-03
7.40200e+00 5.00000e+00 1.92963e-02 1.67944e-01 2.60235e-03 9.34334e-03
7.41959e+00 5.00000e+00 1.88757e-02 1.59900e-01 2.54290e-03 9.00170e-03
7.43718e+00 5.00000e+00 1.84693e-02 1.51993e-01 2.48749e-03 8.67507e-03
7.45477e+00 5.00000e+00 1.80763e-02 1.44268e-01 2.43554e-03 8.36305e-03
7.47236e+00 5.00000e+00 1.76958e-02 1.36754e-01 2.38658e-03 8.06532e-03
7.48994e+00 5.00000e+00 1.73275e-02 1.29477e-01 2.34027e-03 7.78180e-03
7.50753e+00 5.00000e+00 1.69705e-02 1.22440e-01 2.29626e-03 7.51200e-03
7.52512e+00 5.00000e+00 1.66246e-02 1.15655e-01 2.25430e-03 7.25579e-03
7.54271e+00 5.00000e+00 1.62892e-02 1.09125e-01 2.21413e-03 7.01275e-03
