EUVI-A filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
6.76884e+00 5.00000e+00 1.05303e-01 2.73869e-01 2.11216e-01 2.93724e-01
6.78643e+00 5.00000e+00 9.68118e-02 2.62354e-01 1.80817e-01 2.74698e-01
6.80401e+00 5.00000e+00 9.02265e-02 2.48942e-01 1.54812e-01 2.57447e-01
6.82160e+00 5.00000e+00 8.55471e-02 2.33616e-01 1.32516e-01 2.41584e-01
6.83919e+00 5.00000e+00 8.23218e-02 2.17057e-01 1.13389e-01 2.26819e-01
6.85678e+00 5.00000e+00 8.01797e-02 1.99892e-01 9.69593e-02 2.12911e-01
6.87437e+00 5.00000e+00 7.88528e-02 1.82612e-01 8.28333e-02 1.99663e-01
6.89195e+00 5.00000e+00 7.81391e-02 1.65598e-01 7.06836e-02 1.86918e-01
6.90954e+00 5.00000e+00 7.78765e-02 1.49144e-01 6.02188e-02 1.74530e-01
6.92713e+00 5.00000e+00 7.79157e-02 1.34210e-01 5.12815e-02 1.62437e-01
6.94472e+00 5.00000e+00 7.81082e-02 1.21987e-01 4.37556e-02 1.50615e-01
6.96231e+00 5.00000e+00 7.83105e-02 1.13268e-01 3.74988e-02 1.39041e-01
6.97989e+00 5.00000e+00 7.83778e-02 1.08739e-01 3.23653e-02 1.27702e-01
6.99748e+00 5.00000e+00 7.81613e-02 1.09342e-01 2.82081e-02 1.16569e-01
7.01507e+00 5.00000e+00 7.75382e-02 1.16445e-01 2.48925e-02 1.05695e-01
7.03266e+00 5.00000e+00 7.65705e-02 1.30232e-01 2.22375e-02 9.54183e-02
7.05025e+00 5.00000e+00 7.53828e-02 1.50676e-01 2.00901e-02 8.60588e-02
7.06783e+00 5.00000e+00 7.40891e-02 1.77821e-01 1.83436e-02 7.78111e-02
7.08542e+00 5.00000e+00 7.27913e-02 2.11253e-01 1.69199e-02 7.07656e-02
7.10301e+00 5.00000e+00 7.15857e-02 2.49314e-01 1.57665e-02 6.49746e-02
7.12060e+00 5.00000e+00 7.05259e-02 2.89467e-01 1.48348e-02 6.03577e-02
7.13819e+00 5.00000e+00 6.95768e-02 3.30203e-01 1.40653e-02 5.66214e-02
7.15577e+00 5.00000e+00 6.86957e-02 3.69846e-01 1.34104e-02 5.35232e-02
7.17336e+00 5.00000e+00 6.78423e-02 4.06334e-01 1.28323e-02 5.08786e-02
7.19095e+00 5.00000e+00 6.69802e-02 4.37105e-01 1.23018e-02 4.85507e-02
7.20854e+00 5.00000e+00 6.60747e-02 4.59365e-01 1.17949e-02 4.64308e-02
7.22613e+00 5.00000e+00 6.51101e-02 4.72038e-01 1.13042e-02 4.44598e-02
7.24371e+00 5.00000e+00 6.40888e-02 4.76253e-01 1.08362e-02 4.26192e-02
7.26130e+00 5.00000e+00 6.30109e-02 4.73557e-01 1.03961e-02 4.08923e-02
7.27889e+00 5.00000e+00 6.18759e-02 4.65598e-01 9.98936e-03 3.92684e-02
7.29648e+00 5.00000e+00 6.06812e-02 4.53978e-01 9.62041e-03 3.77377e-02
7.31407e+00 5.00000e+00 5.94249e-02 4.40099e-01 9.29263e-03 3.62924e-02
7.33165e+00 5.00000e+00 5.81251e-02 4.24760e-01 9.00173e-03 3.49245e-02
7.34924e+00 5.00000e+00 5.68032e-02 4.08421e-01 8.74074e-03 3.36248e-02
7.36683e+00 5.00000e+00 5.54798e-02 3.91484e-01 8.50457e-03 3.23874e-02
7.38442e+00 5.00000e+00 5.41721e-02 3.74266e-01 8.28907e-03 3.12069e-02
7.40200e+00 5.00000e+00 5.28959e-02 3.57027e-01 8.09104e-03 3.00792e-02
7.41959e+00 5.00000e+00 5.16600e-02 3.39940e-01 7.90759e-03 2.89997e-02
7.43718e+00 5.00000e+00 5.04647e-02 3.23144e-01 7.73662e-03 2.79672e-02
7.45477e+00 5.00000e+00 4.93079e-02 3.06733e-01 7.57632e-03 2.69805e-02
7.47236e+00 5.00000e+00 4.81883e-02 2.90772e-01 7.42525e-03 2.60388e-02
7.48994e+00 5.00000e+00 4.71051e-02 2.75314e-01 7.28234e-03 2.51419e-02
7.50753e+00 5.00000e+00 4.60566e-02 2.60364e-01 7.14650e-03 2.42881e-02
7.52512e+00 5.00000e+00 4.50420e-02 2.45949e-01 7.01697e-03 2.34773e-02
7.54271e+00 5.00000e+00 4.40597e-02 2.32079e-01 6.89293e-03 2.27081e-02
7.56030e+00 5.00000e+00 4.31083e-02 2.18753e-01 6.77371e-03 2.19797e-02
7.57788e+00 5.00000e+00 4.21874e-02 2.05970e-01 6.65882e-03 2.12920e-02
7.59547e+00 5.00000e+00 4.12951e-02 1.93698e-01 6.54767e-03 2.06443e-02
7.61306e+00 5.00000e+00 4.04316e-02 1.81926e-01 6.43998e-03 2.00370e-02
7.63065e+00 5.00000e+00 3.95955e-02 1.70649e-01 6.33544e-03 1.94678e-02
7.64824e+00 5.00000e+00 3.87849e-02 1.59861e-01 6.23386e-03 1.89336e-02
7.66582e+00 5.00000e+00 3.79991e-02 1.49558e-01 6.13512e-03 1.84323e-02
7.68341e+00 5.00000e+00 3.72361e-02 1.39710e-01 6.03897e-03 1.79618e-02
7.70100e+00 5.00000e+00 3.64956e-02 1.30303e-01 5.94541e-03 1.75214e-02
7.71859e+00 5.00000e+00 3.57770e-02 1.21323e-01 5.85435e-03 1.71101e-02
7.73618e+00 5.00000e+00 3.50797e-02 1.12779e-01 5.76563e-03 1.67246e-02
7.75376e+00 5.00000e+00 3.44034e-02 1.04682e-01 5.67918e-03 1.63622e-02
7.77135e+00 5.00000e+00 3.37473e-02 9.70199e-02 5.59481e-03 1.60202e-02
7.78894e+00 5.00000e+00 3.31116e-02 8.97864e-02 5.51248e-03 1.56971e-02
7.80653e+00 5.00000e+00 3.24965e-02 8.29672e-02 5.43216e-03 1.53916e-02
7.82412e+00 5.00000e+00 3.19017e-02 7.65649e-02 5.35376e-03 1.51022e-02
7.84170e+00 5.00000e+00 3.13267e-02 7.06041e-02 5.27719e-03 1.48270e-02
7.85929e+00 5.00000e+00 3.07700e-02 6.50877e-02 5.20224e-03 1.45640e-02
7.87688e+00 5.00000e+00 3.02315e-02 6.00182e-02 5.12886e-03 1.43120e-02
7.89447e+00 5.00000e+00 2.97112e-02 5.53879e-02 5.05697e-03 1.40698e-02
7.91206e+00 5.00000e+00 2.92090e-02 5.11819e-02 4.98652e-03 1.38366e-02
7.92964e+00 5.00000e+00 2.87245e-02 4.73617e-02 4.91749e-03 1.36121e-02
7.94723e+00 5.00000e+00 2.82560e-02 4.38749e-02 4.84977e-03 1.33956e-02
7.96482e+00 5.00000e+00 2.78031e-02 4.06839e-02 4.78338e-03 1.31872e-02
7.98241e+00 5.00000e+00 2.73653e-02 3.77555e-02 4.71831e-03 1.29870e-02
8.00000e+00 5.00000e+00 2.69424e-02 3.50616e-02 4.65457e-03 1.27951e-02
4.50000e+00 5.53846e+00 7.96113e-08 8.44529e-07 8.27803e-05 9.51047e-04
4.51758e+00 5.53846e+00 1.75555e-07 1.70412e-06 1.17054e-04 1.63402e-03
4.53517e+00 5.53846e+00 3.78483e-07 3.36336e-06 1.58876e-04 2.85788e-03
4.55276e+00 5.53846e+00 8.00786e-07 6.52074e-06 2.09359e-04 5.04072e-03
4.57035e+00 5.53846e+00 1.66884e-06 1.24701e-05 2.70728e-04 8.88755e-03
4.58793e+00 5.53846e+00 3.43521e-06 2.36018e-05 3.46988e-04 1.55221e-02
4.60552e+00 5.53846e+00 7.00961e-06 4.43915e-05 4.45247e-04 2.66285e-02
4.62311e+00 5.53846e+00 1.41856e-05 8.30398e-05 5.75496e-04 4.46311e-02
4.64070e+00 5.53846e+00 2.84118e-05 1.54128e-04 7.49692e-04 7.31974e-02
4.65829e+00 5.53846e+00 5.61682e-05 2.83028e-04 9.84562e-04 1.17653e-01
4.67587e+00 5.53846e+00 1.09227e-04 5.12377e-04 1.30401e-03 1.85465e-01
4.69346e+00 5.53846e+00 2.08350e-04 9.11740e-04 1.74373e-03 2.86978e-01
4.71105e+00 5.53846e+00 3.88147e-04 1.58778e-03 2.35583e-03 4.35701e-01
4.72864e+00 5.53846e+00 7.04864e-04 2.70094e-03 3.20979e-03 6.49463e-01
4.74623e+00 5.53846e+00 1.24685e-03 4.48474e-03 4.39390e-03 9.51447e-01
4.76381e+00 5.53846e+00 2.14461e-03 7.25656e-03 6.02012e-03 1.37027e+00
4.78140e+00 5.53846e+00 3.58063e-03 1.14230e-02 8.22871e-03 1.94084e+00
4.79899e+00 5.53846e+00 5.78209e-03 1.74350e-02 1.11775e-02 2.70147e+00
4.81658e+00 5.53846e+00 8.99985e-03 2.57192e-02 1.50374e-02 3.69074e+00
4.83417e+00 5.53846e+00 1.34953e-02 3.66411e-02 2.00057e-02 4.93724e+00
