AIA filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 7
200 14
logT logNe 094 131 171 193 211 304 335
4.50000e+00 5.00000e+00 7.74776e-06 5.83188e-06 1.67504e-02 1.69746e-02 1.21473e-02 8.27007e-03 6.57581e-03
4.51758e+00 5.00000e+00 8.34593e-06 6.24689e-06 1.86065e-02 1.88554e-02 1.34590e-02 9.24692e-03 7.27567e-03
4.53517e+00 5.00000e+00 8.79561e-06 6.54344e-06 2.07539e-02 2.10415e-02 1.49615e-02 1.04147e-02 8.06033e-03
4.55276e+00 5.00000e+00 9.15652e-06 6.75781e-06 2.32807e-02 2.36222e-02 1.67187e-02 1.18678e-02 8.96337e-03
4.57035e+00 5.00000e+00 9.50395e-06 6.93529e-06 2.63102e-02 2.67224e-02 1.88199e-02 1.37489e-02 1.00320e-02
4.58793e+00 5.00000e+00 9.92594e-06 7.12672e-06 3.00136e-02 3.05151e-02 2.13904e-02 1.62785e-02 1.13323e-02
4.60552e+00 5.00000e+00 1.05293e-05 7.38953e-06 3.46436e-02 3.52556e-02 2.46155e-02 1.98186e-02 1.29621e-02
4.62311e+00 5.00000e+00 1.14006e-05 7.78221e-06 4.04787e-02 4.12288e-02 2.87042e-02 2.48555e-02 1.50264e-02
4.64070e+00 5.00000e+00 1.25694e-05 8.36499e-06 4.77528e-02 4.86852e-02 3.38429e-02 3.19415e-02 1.76065e-02
4.65829e+00 5.00000e+00 1.40750e-05 9.22590e-06 5.67280e-02 5.79141e-02 4.02556e-02 4.18387e-02 2.07930e-02
4.67587e+00 5.00000e+00 1.59734e-05 1.05038e-05 6.76914e-02 6.92441e-02 4.82108e-02 5.55880e-02 2.46855e-02
4.69346e+00 5.00000e+00 1.83443e-05 1.24345e-05 8.09673e-02 8.30648e-02 5.80465e-02 7.46206e-02 2.93966e-02
4.71105e+00 5.00000e+00 2.12881e-05 1.54220e-05 9.68610e-02 9.97787e-02 7.01470e-02 1.00798e-01 3.50325e-02
4.72864e+00 5.00000e+00 2.49148e-05 2.00462e-05 1.15715e-01 1.19859e-01 8.49636e-02 1.36574e-01 4.17102e-02
4.74623e+00 5.00000e+00 2.93390e-05 2.71873e-05 1.37896e-01 1.43845e-01 1.03008e-01 1.85102e-01 4.95507e-02
4.76381e+00 5.00000e+00 3.46831e-05 3.83372e-05 1.63708e-01 1.72279e-01 1.24826e-01 2.50221e-01 5.86501e-02
4.78140e+00 5.00000e+00 4.10839e-05 5.61138e-05 1.93408e-01 2.05740e-01 1.51030e-01 3.36536e-01 6.90794e-02
4.79899e+00 5.00000e+00 4.86632e-05 8.51587e-05 2.27030e-01 2.44686e-01 1.82182e-01 4.48918e-01 8.08247e-02
4.81658e+00 5.00000e+00 5.75395e-05 1.33687e-04 2.64444e-01 2.89465e-01 2.18772e-01 5.92034e-01 9.38097e-02
4.83417e+00 5.00000e+00 6.78837e-05 2.14205e-04 3.05678e-01 3.40322e-01 2.61079e-01 7.69263e-01 1.08042e-01
4.85175e+00 5.00000e+00 7.98906e-05 3.44525e-04 3.50747e-01 3.97234e-01 3.08999e-01 9.80885e-01 1.23549e-01
4.86934e+00 5.00000e+00 9.37868e-05 5.47587e-04 3.99614e-01 4.59867e-01 3.61974e-01 1.22228e+00 1.40358e-01
4.88693e+00 5.00000e+00 1.09783e-04 8.45658e-04 4.51986e-01 5.27220e-01 4.18594e-01 1.48057e+00 1.58437e-01
4.90452e+00 5.00000e+00 1.28086e-04 1.24704e-03 5.07348e-01 5.97558e-01 4.76478e-01 1.73296e+00 1.77712e-01
4.92211e+00 5.00000e+00 1.48899e-04 1.74036e-03 5.65138e-01 6.69148e-01 5.33314e-01 1.95460e+00 1.98086e-01
4.93969e+00 5.00000e+00 1.72415e-04 2.31747e-03 6.25069e-01 7.41560e-01 5.88684e-01 2.13355e+00 2.19482e-01
4.95728e+00 5.00000e+00 1.98832e-04 2.97201e-03 6.86922e-01 8.14796e-01 6.42856e-01 2.26366e+00 2.41827e-01
